ID,cluster 1,cluster 2,cluster 3,cluster 4
[1],"[1, 3, 6, 9, 10]","[2, 4, 7]","[5, 8]"
[2],[9],"[1, 2, 3, 4, 5]",[6],"[7, 8, 10]"
[3],"[1, 2, 3]","[4, 5, 7]","[6, 8]","[9, 10]"
[4],"[3, 4, 6, 9, 10]","[1, 2, 8]","[5, 7]"
[5],"[1, 6]","[2, 3, 4]","[5, 8]","[7, 9, 10]"
[6],"[4, 9]","[1, 2, 3, 5, 6, 7]","[8, 10]"
[7],"[2, 5, 9]","[1, 3, 8]","[4, 6]","[7, 10]"
[8],"[5, 6]","[1, 2, 3, 7, 8]",[4],"[9, 10]"
[9],"[1, 2, 3, 4, 6, 7]","[5, 8]","[9, 10]"
[10],"[2, 3, 4, 9, 10]","[1, 7]","[5, 6, 8]"
[11],"[2, 9]","[1, 3, 4, 5]","[6, 7, 8]",[10]
[12],"[1, 3, 5, 6, 9, 10]","[2, 4, 7, 8]"
[13],"[1, 6]","[2, 3, 7, 8]","[4, 5]","[9, 10]"
[14],"[3, 4, 6, 10]","[1, 2, 7, 8]",[5],[9]
[15],"[1, 3, 5, 6, 10]","[2, 7]","[4, 8]",[9]
[16],"[1, 3, 6, 9, 10]","[2, 4, 8]","[5, 7]"
[17],"[2, 4, 5, 6, 10]","[1, 3]","[7, 8]",[9]
[18],"[2, 3, 4, 5]","[1, 7, 8]",[6],"[9, 10]"
[19],"[4, 9]","[1, 2, 3, 5, 8]",[6],"[7, 10]"
[20],[3],"[1, 2, 4, 5, 8]",[6],"[7, 9, 10]"
[21],"[2, 3]","[1, 4, 5, 6, 7]",[8],"[9, 10]"
[22],"[1, 2, 3]",[7],"[4, 5, 6, 8]","[9, 10]"
[23],"[3, 4, 5, 6, 9, 10]","[1, 2]","[7, 8]"
[24],"[1, 3, 6, 9]","[2, 5, 7, 8]",[4],[10]
[25],"[2, 5, 6, 10]","[1, 3, 4, 8]",[7],[9]
[26],"[2, 3, 9, 10]","[1, 4, 5, 6]",[8],[7]
[27],"[2, 3, 5, 10]","[1, 4, 6]","[7, 8]",[9]
[28],"[1, 2, 3, 5, 9, 10]",[6],[4],"[7, 8]"
[29],"[3, 4, 6, 10]","[1, 2, 5]","[7, 8]",[9]
[30],"[2, 3, 4, 6, 9, 10]","[1, 8]","[5, 7]"
[31],"[1, 2, 3, 4, 6, 10]","[5, 7]","[8, 9]"
[32],"[1, 2, 6, 10]","[3, 4, 5]","[7, 8]",[9]
